Model,Train MAE,Train MSE,Train RMSE,Train R²,Test MAE,Test MSE,Test RMSE,Test R²
Linear Regression,0.46899519457417893,0.3538140260615009,0.5948226845552387,0.40900625194868045,0.4697360175612682,0.3527549323237276,0.5939317572951691,0.37342705178842106
Ridge Regression,0.46899415786097653,0.35381402695990666,0.5948226853104265,0.4090062504480272,0.46973390368500967,0.352752489606751,0.5939297008962854,0.37343139060905106
Lasso Regression,0.4765905321017622,0.3729930985903783,0.6107316092936228,0.3769704616094385,0.47364234762037477,0.3633229718579946,0.6027627824094605,0.35465581124421963
Random Forest,0.10687398294134604,0.029548269787670507,0.1718961017233099,0.9506440066702966,0.2881417314301761,0.21390196252295474,0.4624953648664544,0.6200614902720798
